parents	labels	shortname	shortname_rus	name_rus	history_from	history_till	trace_color	wiki_page
exchange_bond	RU000A100K64	APRI Fly Planning BO-P02	АПРИФП БП2	АПРИ Флай Плэнинг АО БО-П02	2019-07-10			
exchange_bond	RU000A100K80	Sberbank 001P-SBER12	Сбер Sb12R	Сбербанк ПАО 001Р-SBER12	2019-07-09			
exchange_bond	RU000A100KL0	RUSAL Bratsk BO-001P-02	РУСАБрБ1P2	РУСАЛ Братск БО-001P-02	2019-07-11			
exchange_bond	RU000A100KQ9	SberIOS 001P-110R 2Y LUX 5.2%	СберИОС110	СберИОС 001Р-110R 2Y LUX 5.2%	2019-07-11			
exchange_bond	RU000A100KS5	CREDIT BANK OF MOSCOW P02	МКБ П02	МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П02	2019-07-15			
exchange_bond	RU000A100KT3	CREDIT BANK OF MOSCOW P03	МКБ П03	МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П03	2019-07-15			
exchange_bond	RU000A100KU1	SberIOS 001P-111R 1Y SX5E T-W	СберИОС111	СберИОС 001Р-111R 1Y SX5E T-W	2019-07-12			
exchange_bond	RU000A100KW7	Sberbank 001P-SBER10	Сбер Sb10R	Сбербанк ПАО 001Р-SBER10	2019-07-15			
exchange_bond	RU000A100KX5	Sberbank 001P-SBER11	Сбер Sb11R	Сбербанк ПАО 001Р-SBER11	2019-07-15			
exchange_bond	RU000A100KY3	Rosneft 002P-08	Роснфт2P8	ПАО НК Роснефть 002P-08	2019-07-15			
exchange_bond	RU000A100KZ0	SberIOS 001P-112R 5Y ENTM 10.2	СберИОС112	СберИОС 001Р-112R 5Y ENTM 10.2	2019-07-15			
exchange_bond	RU000A100L14	OTKRITIE FC Bank BO-P05	ОткрФКБОП5	ПАО ОТКРЫТИЕ ФК Банк БО-П05	2019-07-16			
exchange_bond	RU000A100L22	SberIOS 001P-98R 3Y LEI 120%	СберИОС98	СберИОС 001Р-98R 3Y LEI 120%	2019-07-15			
exchange_bond	RU000A100L48	SberIOS 001P-113R 42M CDX 115%	СберИОС113	СберИОС 001Р-113R 42M CDX 115%	2019-07-16			
exchange_bond	RU000A100L55	MTS 001P-11	МТС 1P-11	Мобильные ТелеСистемы 001P-11	2019-07-17			
